,Unnamed: 0,Tanggal,id,username,teks,label
1,1,2022-10-18 23:58:04,1582521426816311296,MelangkahBersama,"https://t.co/bAoBFqenfJ saat ini peternak ayam mandiri dan UMKM sdg merugi akibat adanya monopoli yg dikuasai pengusaha besar
Serba Serbi MMC
#IslamKaffah",0
4,4,2022-10-18 23:54:13,1582520456661172224,Ferdi,"RT @neohistoria_id: Mari belajar dari Sejarah. Jangan mudah terhasut oleh berita menyesatkan. Tetap optimis. Belanja secukupnya, menabung s…",
5,5,2022-10-18 23:53:41,1582520322808770561,FB yaw | HB ke @qenliii 🖤,"RT @ShopeengGahaul: - Rekomendasi Atasan Pria Batik -

–– a thread

t: malam minggu amanda zahra , changmin , &amp; zendaya digigit tomcat. umk…",
6,6,2022-10-18 23:51:51,1582519861653409792,aku siapa,"RT @swowwy: Orang Indo gausah takut resesi, gausah percaya influencer2 gak jelas.. tulang punggung ekonomi Indo bukan ekspor tapi umkm loka…",
7,7,2022-10-18 23:50:18,1582519471448551425,Eyang_Sepuh88,"Melaui GGBI Di Malut Pertamina Dukung Terwujudnya Pemberdayaan UMKM.!!

#DemiPemerataanEkonomi https://t.co/T3RNqrAE08",
8,8,2022-10-18 23:50:01,1582519401177575424,Tetra B. Hariwibowo,"RT @Partono_ADjem: Betul Pak Mendag @ZUL_Hasan biar GenZ juga jgn taunya Erigo sama Pull&amp;Bear aja.
Mesti tau UMKM daerah juga. https://t.co…",
9,9,2022-10-18 23:48:49,1582519098453684224,FB yaw | HB ke @qenliii 🖤,"RT @pinkluvv_: 🌷 Shirt Korean Style 💗

Kemeja cocok buat ngampus gaiss
🌟 4.9
🖇️ https://t.co/Mv0a8KF6eq

Izin tags : Amanda Zahra umkm B to…",
10,10,2022-10-18 23:48:25,1582518995818663936,zyan🐻,"Sedang mencari responden pemilik umkm, aaaa cari dimana yaa",
11,11,2022-10-18 23:47:41,1582518811148046341,Yani/m,"Serba-serbi MMC

Peternak ayam mandiri dan UMKM merugi disebabkan harga jual ayam yang merosot tajam. Hal ini disebabkan adanya monopoli dan dominasi yang kuat dari korporasi. Bagaimana Islam kaffah memandang hal ini? SImak dalam video berikut ini!

https://t.co/3nnFmVCAOS",
12,12,2022-10-18 23:47:15,1582518702955991040,🅼🆄🆂🆃 🅱🅴🅴 🅻🅰🅶🅸🐝🐝,"@terbucinz @erickthohir @denni_sauya @NgkongRoses @MARV3LLL @yarachantique @Aryprasetyo85 @p3juangNKRI @seruanhl @farrel27 @K412R4 @Arindra__ Betul, contoh kontribusi perempuan dalam mendorong perekonomian nasional adalah di sektor UMKM.
#BangkitBersamaET",
14,14,2022-10-18 23:46:08,1582518424638750720,lelucky,"RT @qiunco2761: Agar UMKM bisa bangkit 
@ganjarpranowo 
Mengimbau warga Jateng 
Kalau wisata 
Piknik Lokal https://t.co/Kd52rUhYoE",
15,15,2022-10-18 23:45:34,1582518281658716162,Matcha,"Jajan di umkm itu lebih baik menurut gw, drpd sering ikutan fomo ke tempat fancy yg lg hits misal. Jadi bisa ambil jalan tengahnya.
1. Tetap bisa nabung
2. Tetap bisa jajan",
16,16,2022-10-18 23:45:26,1582518244874674181,Matcha,"Cuman mau komen yg bagian ""daya beli umkm turun"".
Gw sbg generasi milenial ngerasa yg disebarin ttg saving money tuh bagus bgt. Gada yg salah dg ""hemat &amp; nabung"".
Tp coba deh dipikir, generasi milenial banyk yg fomo fancy itulah yg nggk banget. https://t.co/92bYADB5Ac",
17,17,2022-10-18 23:44:19,1582517966113222656,"Eddi Mak, CFP®AEPP®","Apakah sebuah bisnis punya resiko berhenti ? 

Acara hari ini menemani makan siang mu dan akan membahas tentang bagaimana cara kamu akan mengantisipasi segala kemungkinan resiko yang akan mengganggu kelancaran bisnis kamu.

Bisnis UMKM saat ini menjadi uj…https://t.co/p0PX5CLsvT",
18,18,2022-10-18 23:43:05,1582517654203473922,PinginHaji,"Adanya monopoli dan dominasi yang kuat dari perusahaan-perusahaan integrator sebabkan para peternak ayam mandiri dan UMKM merugi. Bagaimana Islam memandang hal ini? 

https://t.co/wN7lVrwBUy

Serba-serbi MMC     
#Islamkaffah",
19,19,2022-10-18 23:41:40,1582517300594323456,Ummi1,"Saat ini para peternak ayam mandiri dan UMKM rugi guys... harga jual ayam merosot tajam. Benarkah ada monopoli dan dominasi yang kuat dari perusahaan-perusahaan integrator? Bgm Islam memandang hal ini? 

https://t.co/XzIKao7T7O
Serba-serbi MMC
#Islamkaffah",
20,20,2022-10-18 23:41:23,1582517225935998976,Rum_ana,"Bagaimana pun Sulitnya?..rakyat hanya bisa diam, kalau negara yg berperan.termasuk monopoli ekonomi yg dampaknya langsung ke pengusaha kecil dn UMKM.peternak ayam contohnya. 
Bagaimana Islam menyikapi hal ini?. Simak di Serba-serbi MMC     
#Islamkaffah
https://t.co/fdVZ6TBsDq",
21,21,2022-10-18 23:39:56,1582516864252465154,Rini_Koesno_Reborn,"Akibat monopoli dan dominasi yang kuat dari perusahaan-perusahaan integrator, yang merugikan pengusaha-pengusaha kecil (termasuk para peternak ayam mandiri dan UMKM) Bagaimana Islam memandang hal ini? 
https://t.co/j35Vkm0G9K
Serba-serbi MMC     
#Islamkaffah",
22,22,2022-10-18 23:38:37,1582516530390061056,Umi Afifa,"Saat ini para peternak ayam mandiri dan UMKM sedang dalam kondisi merugi disebabkan harga jual ayam yang merosot tajam di pasaran. 
Simak videonya di Serba-serbi MMC 
https://t.co/ADlAC3qC0L

#IslamKaffah",
23,23,2022-10-18 23:38:28,1582516493421404160,Indra_Born,"Saat ini para peternak ayam mandiri dan UMKM sedang dalam kondisi merugi disebabkan harga jual ayam yang merosot tajam di pasaran.Bagaimana Islam memandang hal ini? SImak dalam video berikut ini!

https://t.co/sIfQLMYuf2
      
Serba-serbi MMC     
#Islamkaffah",
24,24,2022-10-18 23:37:11,1582516170049351680,Henny RedDoorz,"RT @sandiuno: 2 tahun kemarin menjadi masa yang berat bagi kita semua, terutama teman-teman pelaku UMKM. https://t.co/Jzr0egUzjK",
25,25,2022-10-18 23:37:11,1582516168723951616,𝗬𝘂𝘂𝗷𝗶,"RT @U_RamlanGinting: @idextratime Hidup seperti biasa.
Nabung harusnya dilakukan dengan atau tanpa adanya resesi.
Tetap Belanja ke warung k…",
26,26,2022-10-18 23:35:52,1582515841467572224,Ghaziah,"Saat ini para peternak ayam mandiri dan UMKM sedang dalam kondisi merugi disebabkan harga jual ayam yang merosot tajam di pasaran,dikarenakan adanya monopoli dari perusahaan² integrator..

https://t.co/ZSt5f06QEa
Serba-serbi MMC
#IslamKaffah",
27,27,2022-10-18 23:35:49,1582515828594864128,def,"RT @PDI_Perjuangan: BPJPH dan Selly Andriany Gantina Sosialisasikan Sertifikasi Halal Gratis Kepada Pelaku UMKM

Selly Andriany Gantina ber…",
28,28,2022-10-18 23:34:10,1582515410204651520,Erika Lg dagang | topup ml,"@sedulitsambel @worksfess noted, resesi diluar bisa ngedampak juga buat kita kan ya kak apalagi negara yg transaksinya sama kita. 
makanya aku bilang ttp spend buat umkm, biar roda ekonomi berputar",
29,29,2022-10-18 23:33:15,1582515181631918080,Icha,"Yah beginilah di sistem kapitalis hari ini, para peternak ayam mandiri dan UMKM sedang merugi,akibat monopoli bisnis ayam!
https://t.co/vTjcyn39Bs
Serba - serbi Mmc
#IslamKaffah https://t.co/tTAzYLDeS1",
